,chembl_id,standard_type,standard_value,standard_unit,target_chembl_id
209,CHEMBL101,Ki,19000.0,nM,CHEMBL3397
210,CHEMBL101,Ki,34700.0,nM,CHEMBL1641348
211,CHEMBL101,Ki,0.1,nM,CHEMBL4523354
212,CHEMBL1020,Ki,87800.0,nM,CHEMBL2424
213,CHEMBL1020,Ki,87800.0,nM,CHEMBL2424
214,CHEMBL1020,Ki,416869383470336.4,nM,CHEMBL3253
215,CHEMBL1020,Ki,1014000.0,nM,CHEMBL2424
216,CHEMBL1023,Ki,75.0,nM,CHEMBL2004
217,CHEMBL1023,Ki,1000.0,nM,CHEMBL2003
218,CHEMBL1023,Ki,36.0,nM,CHEMBL2061
219,CHEMBL1023,Ki,16.0,nM,CHEMBL2061
220,CHEMBL1023,Ki,21.0,nM,CHEMBL2061
221,CHEMBL1023,Ki,1000.0,nM,CHEMBL2008
222,CHEMBL1023,Ki,14.0,nM,CHEMBL2061
223,CHEMBL1023,Ki,1000.0,nM,CHEMBL2055
224,CHEMBL1023,Ki,550.0,nM,CHEMBL2008
225,CHEMBL1023,Ki,3206.0,nM,CHEMBL2003
226,CHEMBL1023,Ki,29.0,nM,CHEMBL2004
227,CHEMBL1023,Ki,8.3,nM,CHEMBL2004
228,CHEMBL1023,Ki,50.0,nM,CHEMBL2008
229,CHEMBL1023,Ki,800.0,nM,CHEMBL2008
230,CHEMBL1023,Ki,180.0,nM,CHEMBL2055
231,CHEMBL1023,Ki,1000.0,nM,CHEMBL2003
232,CHEMBL1023,Ki,1000.0,nM,CHEMBL2008
233,CHEMBL1023,Ki,379.0,nM,CHEMBL2061
234,CHEMBL1023,Ki,5453.0,nM,CHEMBL2055
235,CHEMBL1023,Ki,5353.0,nM,CHEMBL2008
236,CHEMBL1023,Ki,29.0,nM,CHEMBL2004
